unit_id,institution_name,state,control,hbcu,n_applied,n_admitted,n_enrolled
140553,Morehouse College,GA,Private not-for-profit,1,5610,2883,682
157401,Murray State University,KY,Public,0,11038,9511,1659
262129,New College of Florida,FL,Public,0,2119,1568,221
218414,Newberry College,SC,Private not-for-profit,0,4269,3193,470
159966,Nicholls State University,LA,Public,0,3320,3188,1169
232937,Norfolk State University,VA,Public,1,10211,8931,1503
199102,North Carolina A & T State University,NC,Public,1,30717,14183,2755
199157,North Carolina Central University,NC,Public,1,14192,12842,1465
199193,North Carolina State University at Raleigh,NC,Public,0,40049,15958,5728
199209,North Carolina Wesleyan University,NC,Private not-for-profit,0,2417,1884,250
218441,North Greenville University,SC,Private not-for-profit,0,3243,2036,438
157447,Northern Kentucky University,KY,Public,0,6417,6162,1295
160038,Northwestern State University of Louisiana,LA,Public,0,3194,2994,1033
368452,Nossi College of Art and Design,TN,Private for-profit,0,245,106,50
136215,Nova Southeastern University,FL,Private not-for-profit,0,17621,12805,2029
101912,Oakwood University,AL,Private not-for-profit,1,2370,1197,290
140696,Oglethorpe University,GA,Private not-for-profit,0,2854,1714,391
232982,Old Dominion University,VA,Public,0,15216,13773,2717
107512,Ouachita Baptist University,AR,Private not-for-profit,0,2138,1465,469
140720,Paine College,GA,Private not-for-profit,1,2253,1878,120
136330,Palm Beach Atlantic University,FL,Private not-for-profit,0,7657,6763,680
199306,Pfeiffer University,NC,Private not-for-profit,0,1637,1560,195
140818,Piedmont University,GA,Private not-for-profit,0,2066,1918,286
138868,Point University,GA,Private not-for-profit,0,3250,2194,1084
218539,Presbyterian College,SC,Private not-for-profit,0,3359,2430,265
199412,Queens University of Charlotte,NC,Private not-for-profit,0,4357,2949,399
233277,Radford University,VA,Public,0,11072,10036,1103
233301,Randolph College,VA,Private not-for-profit,0,1935,1837,200
233295,Randolph-Macon College,VA,Private not-for-profit,0,2620,2185,431
490230,Reformed University,GA,Private not-for-profit,0,79,58,46
231651,Regent University,VA,Private not-for-profit,0,7261,2990,643
140872,Reinhardt University,GA,Private not-for-profit,0,1755,968,319
221351,Rhodes College,TN,Private not-for-profit,0,6025,2993,483
136774,Ringling College of Art and Design,FL,Private not-for-profit,0,2685,1809,447
233408,Riverside College of Health Careers,VA,Private not-for-profit,0,30,5,4
233426,Roanoke College,VA,Private not-for-profit,0,6829,5468,531
136950,Rollins College,FL,Private not-for-profit,0,9796,3973,639
176318,Rust College,MS,Private not-for-profit,1,1715,595,103
199582,Saint Augustine's University,NC,Private not-for-profit,1,3160,1856,162
137032,Saint Leo University,FL,Private not-for-profit,0,7788,5615,632
199607,Salem College,NC,Private not-for-profit,0,1951,1698,156
102049,Samford University,AL,Private not-for-profit,0,4541,3734,1080
140951,Savannah College of Art and Design,GA,Private not-for-profit,0,14931,12495,3651
199643,Shaw University,NC,Private not-for-profit,1,10699,3261,186
233541,Shenandoah University,VA,Private not-for-profit,0,3763,2929,485
237792,Shepherd University,WV,Public,0,1793,1715,566
140988,Shorter University,GA,Private not-for-profit,0,783,759,269
461759,Simmons College of Kentucky,KY,Private not-for-profit,1,280,275,169
218733,South Carolina State University,SC,Public,1,9830,8034,1079
199759,Southeastern Baptist Theological Seminary,NC,Private not-for-profit,0,124,95,77
428170,Southeastern College-West Palm Beach,FL,Private for-profit,0,227,183,114
160612,Southeastern Louisiana University,LA,Public,0,5485,5171,2349
137564,Southeastern University,FL,Private not-for-profit,0,2800,2080,1034
221661,Southern Adventist University,TN,Private not-for-profit,0,2731,1819,758
107983,Southern Arkansas University Main Campus,AR,Public,0,2936,1955,797
160621,Southern University and A & M College,LA,Public,1,12221,6095,1711
160630,Southern University at New Orleans,LA,Public,1,2920,1758,154
233611,Southern Virginia University,VA,Private not-for-profit,0,1101,1097,295
217776,Southern Wesleyan University,SC,Private not-for-profit,0,472,472,159
157757,Spalding University,KY,Private not-for-profit,0,807,796,117
218821,Spartanburg Methodist College,SC,Private not-for-profit,0,1946,1584,450
141060,Spelman College,GA,Private not-for-profit,1,10610,3617,727
102234,Spring Hill College,AL,Private not-for-profit,0,2279,1347,249
137272,St. John Vianney College Seminary,FL,Private not-for-profit,0,10,10,10
137476,St. Thomas University,FL,Private not-for-profit,0,4798,4769,564
137546,Stetson University,FL,Private not-for-profit,0,7824,6762,638
102270,Stillman College,AL,Private not-for-profit,1,2440,1811,200
233718,Sweet Briar College,VA,Private not-for-profit,0,1136,815,138
102298,Talladega College,AL,Private not-for-profit,1,8900,8833,204
221838,Tennessee State University,TN,Public,1,12890,11940,1770
221847,Tennessee Technological University,TN,Public,0,8772,7295,1988
221731,Tennessee Wesleyan University,TN,Private not-for-profit,0,988,587,168
100751,The University of Alabama,AL,Public,0,58418,44295,8279
137847,The University of Tampa,FL,Private not-for-profit,0,35353,14469,2505
220701,The University of Tennessee Southern,TN,Public,0,613,507,185
221740,The University of Tennessee-Chattanooga,TN,Public,0,9096,7006,2381
221759,The University of Tennessee-Knoxville,TN,Public,0,50488,23221,6694
221768,The University of Tennessee-Martin,TN,Public,0,5199,4540,1118
221519,The University of the South,TN,Private not-for-profit,0,5018,2554,449
157809,Thomas More University,KY,Private not-for-profit,0,3030,2940,396
141167,Thomas University,GA,Private not-for-profit,0,526,227,140
141185,Toccoa Falls College,GA,Private not-for-profit,0,876,559,213
176406,Tougaloo College,MS,Private not-for-profit,1,1976,1051,129
157818,Transylvania University,KY,Private not-for-profit,0,1986,1688,281
221892,Trevecca Nazarene University,TN,Private not-for-profit,0,1958,1371,375
137953,Trinity Baptist College,FL,Private not-for-profit,0,192,120,98
137962,Trinity College of Florida,FL,Private not-for-profit,0,81,78,32
102368,Troy University,AL,Public,0,7947,7360,1717
141237,Truett McConnell University,GA,Private not-for-profit,0,730,662,217
160755,Tulane University of Louisiana,LA,Private not-for-profit,0,27936,4077,1867
221953,Tusculum University,TN,Private not-for-profit,0,758,458,216
102377,Tuskegee University,AL,Private not-for-profit,1,11742,3690,859
157863,Union College,KY,Private not-for-profit,0,834,459,198
221971,Union University,TN,Private not-for-profit,0,3012,1421,323
102395,United States Sports Academy,AL,Private not-for-profit,0,119,42,29
100663,University of Alabama at Birmingham,AL,Public,0,10919,9655,2095
100706,University of Alabama in Huntsville,AL,Public,0,6074,4510,1176
106397,University of Arkansas,AR,Public,0,28186,20202,6337
106245,University of Arkansas at Little Rock,AR,Public,0,3661,2114,478
106412,University of Arkansas at Pine Bluff,AR,Public,1,3792,2182,411
108092,University of Arkansas-Fort Smith,AR,Public,0,2677,2181,886
106704,University of Central Arkansas,AR,Public,0,6589,5961,1737
132903,University of Central Florida,FL,Public,0,60627,23961,8196
237312,University of Charleston,WV,Private not-for-profit,0,1635,1055,253
134130,University of Florida,FL,Public,0,65375,15707,6762
484473,University of Florida-Online,FL,Public,0,1440,927,826
139959,University of Georgia,GA,Public,0,43419,16151,6146
160065,University of Holy Cross,LA,Private not-for-profit,0,404,400,33
157085,University of Kentucky,KY,Public,0,28233,26083,6437
160658,University of Louisiana at Lafayette,LA,Public,0,10679,9486,3064
159993,University of Louisiana at Monroe,LA,Public,0,4878,3637,1049
157289,University of Louisville,KY,Public,0,14821,11937,3117
232609,University of Lynchburg,VA,Private not-for-profit,0,4813,3956,478
232681,University of Mary Washington,VA,Public,0,4606,3973,758
220862,University of Memphis,TN,Public,0,15640,14605,2591
135726,University of Miami,FL,Private not-for-profit,0,48286,8940,2328
176017,University of Mississippi,MS,Public,0,27837,27218,5237
101693,University of Mobile,AL,Private not-for-profit,0,1735,1258,288
101709,University of Montevallo,AL,Public,0,6210,3347,501
199069,University of Mount Olive,NC,Private not-for-profit,0,1748,1359,277
159939,University of New Orleans,LA,Public,0,7253,4843,845
101879,University of North Alabama,AL,Public,0,4398,4243,1106
199111,University of North Carolina Asheville,NC,Public,0,5465,5131,630
199120,University of North Carolina at Chapel Hill,NC,Public,0,57902,10850,4699
